name,category,province,regency,latitude,longitude,qid,images
Pantai Senggigi,pantai,Nusa Tenggara Barat,Lombok Barat,-8.499722,116.0475,,https://upload.wikimedia.org/wikipedia/commons/3/3b/Senggigi_Beach_Boats.JPG?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled|https://commons.wikimedia.org/wiki/Special:FilePath/SenggigiHighSt1.JPG?width=800
Pantai Lovina,pantai,Bali,Buleleng,-8.162503,115.025661,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Morning_of_Lovina_Beach_200507-6.jpg/960px-Morning_of_Lovina_Beach_200507-6.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Morning%20of%20Lovina%20Beach%20200507-6.jpg?width=800
Pantai Logending,pantai,Jawa Tengah,Kebumen,-7.723333,109.394722,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Logending_120817-28187_rwg.JPG/960px-Logending_120817-28187_rwg.JPG?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Karangbolong,pantai,Jawa Tengah,Kebumen,-7.758611,109.470833,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Pantai_Karang_Bolong_di_Kabupaten_Kebumen_Indonesia.jpg/960px-Pantai_Karang_Bolong_di_Kabupaten_Kebumen_Indonesia.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Baron,pantai,DI Yogyakarta,Gunungkidul,-8.129117,110.549149,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Baron_Beach_Gunung_Kidul.jpg/960px-Baron_Beach_Gunung_Kidul.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Baron%20Beach%20Gunung%20Kidul.jpg?width=800
Pantai Clungup,pantai,Jawa Timur,Malang,-8.437536,112.668603,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Pantai_Clungup_Indonesia.jpg/960px-Pantai_Clungup_Indonesia.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Pantai%20Clungup%20Indonesia.jpg?width=800
Pantai Ngliyep,pantai,Jawa Timur,Malang,-8.383583,112.424194,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Karang_bolong_%2C_pantai_Ngliyep_kab_malang.jpg/960px-Karang_bolong_%2C_pantai_Ngliyep_kab_malang.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pantai Padang,pantai,Sumatera Barat,Kota Padang,-0.945472,100.351389,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Sunset_Padang_Beach_2005-11-24.JPG/960px-Sunset_Padang_Beach_2005-11-24.JPG?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Quiet%20Water%20of%20Padang%20Beach%2C%20Bali.jpg?width=800
Pantai Pandawa,pantai,Bali,Badung,-8.845296,115.186397,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Pandawa_Beach%2C_Kuta_Selatan_-_Bali.jpg/960px-Pandawa_Beach%2C_Kuta_Selatan_-_Bali.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Pandawa%20Beach%2C%20Kuta%20Selatan%20-%20Bali.jpg?width=800
Pantai Sendangbiru,pantai,Jawa Timur,Kota Malang,-8.432222,112.684167,,
